Interaction_Description,Simplified_Description
Tramadol may increase the analgesic activities of Diethylpropion.,Tramadol can boost Diethylpropion’s ability to reduce pain.
Diphenoxylate may increase the analgesic activities of Diethylpropion.,Diphenoxylate may make Diethylpropion more effective at easing pain.
Oxymorphone may increase the analgesic activities of Diethylpropion.,Oxymorphone can enhance the pain relief effects of Diethylpropion.
Codeine may increase the analgesic activities of Diethylpropion.,Codeine might make Diethylpropion better at relieving pain.
Pentazocine may increase the analgesic activities of Diethylpropion.,Pentazocine may increase Diethylpropion’s pain-relieving effects.
Morphine may increase the analgesic activities of Diethylpropion.,Morphine can boost how much pain relief you get from Diethylpropion.
Dihydrocodeine may increase the analgesic activities of Diethylpropion.,Dihydrocodeine may strengthen the pain-relieving action of Diethylpropion.
Methadone may increase the analgesic activities of Lisdexamfetamine.,Methadone may make Lisdexamfetamine’s pain-relieving effects stronger.
Buprenorphine may increase the analgesic activities of Lisdexamfetamine.,Buprenorphine can increase how well Lisdexamfetamine helps with pain.
Butorphanol may increase the analgesic activities of Lisdexamfetamine.,Butorphanol might boost the pain relief from Lisdexamfetamine.
Hydrocodone may increase the analgesic activities of Lisdexamfetamine.,Hydrocodone may enhance Lisdexamfetamine’s ability to reduce pain.
Ethylmorphine may increase the analgesic activities of Lisdexamfetamine.,Ethylmorphine could increase the pain-relieving effects of Lisdexamfetamine.
Tapentadol may increase the analgesic activities of Lisdexamfetamine.,Tapentadol may make Lisdexamfetamine more effective for pain relief.
Hydromorphone may increase the analgesic activities of Lisdexamfetamine.,Hydromorphone can improve the pain relief from Lisdexamfetamine.
Dextropropoxyphene may increase the analgesic activities of Lisdexamfetamine.,Dextropropoxyphene may enhance Lisdexamfetamine’s effect on pain.
Levorphanol may increase the analgesic activities of Lisdexamfetamine.,Levorphanol might boost how well Lisdexamfetamine eases pain.
Fentanyl may increase the analgesic activities of Lisdexamfetamine.,Fentanyl can strengthen Lisdexamfetamine’s pain-relieving power.
Meperidine may increase the analgesic activities of Lisdexamfetamine.,Meperidine may make Lisdexamfetamine more effective at relieving pain.
Dezocine may increase the analgesic activities of Lisdexamfetamine.,Dezocine can increase the pain-relieving activity of Lisdexamfetamine.
Methadyl acetate may increase the analgesic activities of Lisdexamfetamine.,Methadyl acetate might enhance how Lisdexamfetamine helps with pain.
Alfentanil may increase the analgesic activities of Lisdexamfetamine.,Alfentanil may increase the pain relief effects of Lisdexamfetamine.
Diamorphine may increase the analgesic activities of Lisdexamfetamine.,Diamorphine could boost how well Lisdexamfetamine eases pain.
Sufentanil may increase the analgesic activities of Lisdexamfetamine.,Sufentanil can make Lisdexamfetamine more effective for pain relief.
Normethadone may increase the analgesic activities of Lisdexamfetamine.,Normethadone may enhance the pain-relieving properties of Lisdexamfetamine.
Nalbuphine may increase the analgesic activities of Lisdexamfetamine.,Nalbuphine might strengthen Lisdexamfetamine’s pain relief.
Remifentanil may increase the analgesic activities of Lisdexamfetamine.,Remifentanil may increase how much pain relief Lisdexamfetamine provides.
Oxycodone may increase the analgesic activities of Lisdexamfetamine.,Oxycodone can make Lisdexamfetamine more effective against pain.
Tramadol may increase the analgesic activities of Lisdexamfetamine.,Tramadol may boost the pain-relieving effects of Lisdexamfetamine.
Diphenoxylate may increase the analgesic activities of Lisdexamfetamine.,Diphenoxylate might enhance how well Lisdexamfetamine works for pain.
Oxymorphone may increase the analgesic activities of Lisdexamfetamine.,Oxymorphone can increase the strength of Lisdexamfetamine’s pain relief.
Codeine may increase the analgesic activities of Lisdexamfetamine.,Codeine may make Lisdexamfetamine better at relieving pain.
Pentazocine may increase the analgesic activities of Lisdexamfetamine.,Pentazocine might boost Lisdexamfetamine’s effects on pain.
Morphine may increase the analgesic activities of Lisdexamfetamine.,Morphine can strengthen the pain relief from Lisdexamfetamine.
Dihydrocodeine may increase the analgesic activities of Lisdexamfetamine.,Dihydrocodeine may make Lisdexamfetamine more effective at reducing pain.
The serum concentration of Lisdexamfetamine can be decreased when it is combined with Guanethidine.,"Guanethidine may lower the amount of Lisdexamfetamine in the blood, reducing its effects."
Ioflupane I-123 may decrease effectiveness of Lisdexamfetamine as a diagnostic agent.,Ioflupane I-123 might interfere with how well Lisdexamfetamine works as a diagnostic tool.
The serum concentration of Cefditoren can be decreased when it is combined with Roxatidine acetate.,Roxatidine acetate may reduce how much Cefditoren is absorbed into the body.
The serum concentration of Cefditoren can be decreased when it is combined with Nizatidine.,Nizatidine can lower the amount of Cefditoren in the blood.
The serum concentration of Lactic acid can be increased when it is combined with Flecainide.,Flecainide may increase the amount of Lactic acid in the body.
The serum concentration of Ertapenem can be increased when it is combined with Tacrolimus.,Tacrolimus can raise the level of Ertapenem in the blood.
The serum concentration of Rifaximin can be increased when it is combined with Pitavastatin.,Pitavastatin may increase the amount of Rifaximin in the bloodstream.
Isoniazid may increase the hepatotoxic activities of Rifaximin.,Isoniazid might make Rifaximin more harmful to the liver.
The serum concentration of Rifapentine can be increased when it is combined with Pitavastatin.,Pitavastatin can raise the level of Rifapentine in the blood.
Isoniazid may increase the hepatotoxic activities of Rifapentine.,Isoniazid may increase the risk of liver damage from Rifapentine.
The serum concentration of Rifapentine can be increased when it is combined with Raltegravir.,Raltegravir may increase how much Rifapentine is in the body.
The risk or severity of adverse effects can be increased when Methadone is combined with Alvimopan.,Taking Methadone with Alvimopan may increase the chance of side effects.
The risk or severity of adverse effects can be increased when Buprenorphine is combined with Alvimopan.,Buprenorphine combined with Alvimopan can raise the risk of unwanted side effects.
The risk or severity of adverse effects can be increased when Butorphanol is combined with Alvimopan.,Butorphanol and Alvimopan together may lead to stronger side effects.
The risk or severity of adverse effects can be increased when Hydrocodone is combined with Alvimopan.,Hydrocodone may increase the risk of side effects when used with Alvimopan.
The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Alvimopan.,Ethylmorphine taken with Alvimopan can raise the chance of negative effects.
